vispub_doi,vispub_title,aminer_id,aminer_title,score
10.1109/tvcg.2025.3634629,Conch: Competitive Debate Analysis via Visualizing Clash Points and Hierarchical Strategies,5a9cb65217c44a376ffb77a8,application of hierarchical visualization techniques in meta-analysis data.,67
10.1109/tvcg.2025.3634845,Locally Adapted Reference Frame Fields using Moving Least Squares,5bdc317017c44a1f58a07af0,real-time image deformation using locally-weighted moving least squares,66
10.1109/tvcg.2025.3634781,Designing for Disclosure in Data Visualizations,64ea767a3fda6d7f061708f6,data visualization for digital twins,75
10.1109/tvcg.2025.3634261,The Hue-Man Factor: An Empirical Evaluation of Visualization Perception and Accessibility Across Color Vision Profiles,5ff883dc91e011c8326744b7,evaluating the accessibility of digital audio workstations for blind or visually impaired people.,63
10.1109/tvcg.2025.3642641,DKMap: Interactive Exploration of Vision-Language Alignment in Multimodal Embeddings via Dynamic Kernel Enhanced Projection,611b77965244ab9dcbc988e2,rosita: enhancing vision-and-language semantic alignments via cross- and intra-modal knowledge integration.,64
10.1109/tvcg.2025.3634639,InsightChaser: Enhancing Visual Reasoning of Sports Tactical Visualization with Visual-Text Linking,68368b2a163c01c85079acf0,leveraging data visualization with ggplot2 in translation pedagogy: enhancing learning through visual insights.,64
10.1109/tvcg.2025.3634875,TrajLens: Visual Analysis for Constructing Cell Developmental Trajectories in Cross-Sample Exploration,58437707ac44360f1082b43e,a demonstration of visdpt: visual exploration of differentially private trajectories.,65
10.1109/tvcg.2025.3634823,Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques,5bdc31b417c44a1f58a0bb48,evaluating merging strategies for sampling-based uncertainty techniques in object detection,62
10.1109/tvcg.2025.3634228,F2Stories: A Modular Framework for Multi-Objective Optimization of Storylines with a Focus on Fairness,61c8799c5244ab9dcbf62e25,desdeo: the modular and open source framework for interactive multiobjective optimization,71
10.1109/tvcg.2025.3633882,TiVy: Time Series Visual Summary for Scalable Visualization,5b3d986f17c44a510f7faaad,composite visual mapping for time series visualization.,68
10.1109/tvcg.2025.3634809,VA-Blueprint: Uncovering Building Blocks for Visual Analytics System Design,53e9be65b7602d9704b2781d,"brix: a database of protein building blocks for structural analysis, modeling and design",65
10.1109/tvcg.2025.3634711,Collaborating Across Domains and Roles: An Interview Study of Visualization Design Practices,53e9b2ccb7602d9703d794d0,information visualization and interaction techniques for collaboration across multiple displays,68
10.1109/tvcg.2025.3634644,Urbanite: A Dataflow-Based Framework for Human-AI Interactive Alignment in Urban Visual Analytics,64dc49903fda6d7f06389ceb,the urban toolkit: a grammar-based framework for urban visual analytics,70
10.1109/tvcg.2025.3633912,Visual Analytics using Tensor Unified Linear Comparative Analysis,53e9b2ccb7602d9703d77301,g-pare: a visual analytic tool for comparative analysis of uncertain graphs,69
10.1109/tvcg.2025.3633878,“Mapping What I Feel“: Understanding Affective Geovisualization Design Through the Lens of People-Place Relationships,5390b24420f70186a0ee730c,investigating exceptional poets to inform an understanding of the relationship between poetry and design,65
10.1109/tvcg.2025.3634790,A Design Space for Multiscale Visualization,660cb81113fb2c6cf66b6a9e,a design space for visualization with large scale-item ratios,81
10.1109/tvcg.2025.3634788,ClimateSOM: A Visual Analysis Workflow for Climate Ensemble Datasets,5fc779e691e01148979212e6,climate-fever: a dataset for verification of real-world climate claims,66
10.1109/tvcg.2025.3634783,Critical Design Strategy: A Method for Heuristically Evaluating Visualisation Designs,569f943b0cf28abcee5757e5,using heuristic evaluation to foster visualization analysis and design skills.,72
10.1109/tvcg.2025.3634636,BondMatcher: H-Bond Stability Analysis in Molecular Systems,53e99a74b7602d97022e7921,nonlinear systems: stability analysis,74
10.1109/tvcg.2025.3634803,TrialCompass: Visual Analytics for Enhancing the Eligibility Criteria Design of Clinical Trials,5550475945ce0a409eb66a89,enhancing arden syntax for clinical trial eligibility criteria.,71
10.1109/tvcg.2025.3634225,Shifting Expectations for Encoding Rules Mitigates Misinterpretation of Connected Scatterplots,5fae6fe7d4150a363cefac94,expectation propagation decoding for sparse superposition codes,64
10.1109/tvcg.2025.3633886,Self-Supervised Continuous Colormap Recovery from a 2D Scalar Field Visualization without a Legend,659fbce5939a5f40827d9f13,self-supervised scale recovery for decoupled visual-inertial odometry,62
10.1109/tvcg.2025.3633835,Perceiving Slope and Acceleration: Evidence for Variable Tempo Sampling in Pitch-Based Sonification of Functions,53e9b6c4b7602d9704250df3,integrating statistical and nonstatistical audit evidence using belief functions: a case of variable sampling.,62
10.1109/tvcg.2025.3634641,The Impact of Visual Segmentation on Lexical Word Recognition,53e9af3ab7602d97039793b1,the influence of the lexicon on visual spocen word recognition.,76
10.1109/tvcg.2025.3633870,OW-CLIP: Data-Efficient Visual Supervision for Open-World Object Detection via Human-AI Collaboration,599c7f34601a182cd28fabeb,training a convolutional neural network for multi-class object detection using solely virtual world data,65
10.1109/tvcg.2025.3634786,Investigating the Effects of Augmented Reality on Message Credibility When Visualizing Environmental Impacts,60a4e58991e011f4291ce42b,investigating the impact of real-world environments on the perception of 2d visualizations in augmented reality.,68
10.1109/tvcg.2025.3633868,Uncertainty-Aware PCA Revisited,65c19a62939a5f40825de0b1,uncertainty-aware perceiver,79
